Idx,Specie,File,Validation,Suggested Specie,Comment
1,Whistle,channelA_2025-02-21_00-00-03_0_3_1.0.WAV,-1,,
2,Whistle,channelA_2025-02-21_02-54-51_259_264_0.61.WAV,-1,,
3,Whistle,channelA_2025-02-21_16-23-18_724_729_0.68.WAV,-1,,
4,Whistle,channelA_2025-02-21_21-07-20_205_210_0.55.WAV,0,Motor boat,armónicos motor
5,Whistle,channelA_2025-02-21_21-51-02_1297_1302_0.71.WAV,-1,,armónicos motor
6,Whistle,channelA_2025-02-21_22-56-35_1204_1209_0.85.WAV,1,,armónicos motor
7,Whistle,channelA_2025-02-21_22-56-35_748_753_0.57.WAV,0,Respiracion,respiraciones y clicks raros
8,Whistle,channelA_2025-02-22_00-23-59_574_579_0.59.WAV,-1,,respiraciones y clicks raros
9,Whistle,channelA_2025-02-22_03-18-47_925_930_0.68.WAV,-1,,respiraciones y clicks raros
10,Whistle,channelA_2025-02-22_03-18-47_985_990_0.74.WAV,-1,,respiraciones y clicks raros
11,Whistle,channelA_2025-02-22_10-35-47_829_834_0.55.WAV,0,Ferry,tono motor
12,Whistle,channelA_2025-02-22_10-57-37_1051_1056_0.54.WAV,-1,,tono motor
13,Whistle,channelA_2025-02-22_10-57-37_511_516_0.78.WAV,0,What?,cizalla rar y clicks
14,Whistle,channelA_2025-02-22_10-57-37_730_735_0.56.WAV,-1,,cizalla rar y clicks
15,Whistle,channelA_2025-02-22_10-57-37_760_765_0.75.WAV,-1,,cizalla rar y clicks
16,Whistle,channelA_2025-02-22_12-03-10_10_15_0.8.WAV,0,Ambiental,roces
17,Whistle,channelA_2025-02-22_15-19-49_496_501_0.51.WAV,0,Ambiental,roces
18,Whistle,channelA_2025-02-22_18-14-37_676_681_0.52.WAV,0,Ferry,roces
19,Whistle,channelA_2025-02-22_18-14-37_748_753_0.56.WAV,0,Ferry,ferry
20,Whistle,channelA_2025-02-22_20-03-52_1060_1065_0.8.WAV,1,,ferry
21,Whistle,channelA_2025-02-22_22-36-49_1120_1125_0.89.WAV,2,Bird,foca?
22,Whistle,channelA_2025-02-22_22-58-40_241_246_0.66.WAV,2,Bird,Foca?
23,Whistle,channelA_2025-02-22_22-58-40_244_249_0.99.WAV,2,Bird,Foca?
24,Whistle,channelA_2025-02-22_22-58-40_247_252_0.82.WAV,2,Bird,Foca?
25,Whistle,channelA_2025-02-22_22-58-40_250_255_0.69.WAV,2,Bird,Foca?
26,Whistle,channelA_2025-02-22_22-58-40_265_270_0.78.WAV,2,Bird,Foca?
27,Whistle,channelA_2025-02-22_22-58-40_268_273_0.99.WAV,2,Bird,Foca?
28,Whistle,channelA_2025-02-22_22-58-40_271_276_0.91.WAV,1,,Foca?
29,Whistle,channelA_2025-02-22_22-58-40_277_282_0.94.WAV,2,Bird,Foca?
30,Whistle,channelA_2025-02-22_22-58-40_280_285_0.91.WAV,1,,Foca?
31,Whistle,channelA_2025-02-22_22-58-40_298_303_0.74.WAV,2,Bird,Foca?
32,Whistle,channelA_2025-02-22_22-58-40_307_312_0.5.WAV,2,Bird,Foca?
33,Whistle,channelA_2025-02-22_22-58-40_310_315_0.66.WAV,2,Bird,Foca?
34,Whistle,channelA_2025-02-22_22-58-40_319_324_0.88.WAV,2,Bird,Foca?
35,Whistle,channelA_2025-02-22_22-58-40_322_327_0.96.WAV,2,Bird,Foca?
36,Whistle,channelA_2025-02-22_22-58-40_328_333_0.99.WAV,2,Bird,Foca?
37,Whistle,channelA_2025-02-22_22-58-40_331_336_0.96.WAV,2,Bird,Foca?
38,Whistle,channelA_2025-02-22_22-58-40_367_372_0.69.WAV,2,Bird,Foca?
